level,proficiency,able,strength,con,wis,dex,intelligence,cha,hd,hp,ac,initiative,healing_spells,buff_spells,attack_bonus,weapon_damage,winrate
0.0,0.0,0.0,1.0,1.0,4.0,-1.0,-4.0,-9.0,1.0,2.0,5.0,-1.0,0.0,0.0,0.0,4.0,0.889
-2.0,-1.0,0.0,8.0,-2.0,6.0,-4.0,1.0,-4.0,-1.0,-17.0,-1.0,-2.0,0.0,0.0,2.0,2.0,0.218
2.0,1.0,0.0,-2.0,-1.0,0.0,4.0,-1.0,0.0,0.0,13.0,3.0,2.0,0.0,0.0,2.0,4.0,0.998
0.0,0.0,0.0,1.0,-3.0,4.0,5.0,3.0,1.0,-1.0,-5.0,0.0,3.0,0.0,0.0,3.0,-3.0,0.601
-2.0,-1.0,0.0,-8.0,-6.0,0.0,-1.0,4.0,-1.0,-3.0,-33.0,-7.0,0.0,0.0,0.0,-3.0,-4.0,0.0
0.0,0.0,0.0,1.0,1.0,-5.0,-7.0,6.0,-5.0,1.0,10.0,-2.0,-4.0,0.0,0.0,-2.0,6.0,0.602
0.0,0.0,0.0,10.0,0.0,4.0,-3.0,-5.0,2.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.526
-2.0,-1.0,0.0,-4.0,0.0,5.0,3.0,0.0,-7.0,0.0,-15.0,-3.0,1.0,0.0,0.0,-1.0,-2.0,0.034
1.0,0.0,0.0,-4.0,4.0,7.0,7.0,-1.0,-5.0,2.0,14.0,-3.0,3.0,0.0,0.0,1.0,-2.0,0.668
0.0,0.0,0.0,5.0,7.0,5.0,7.0,4.0,5.0,3.0,21.0,1.0,3.0,0.0,0.0,2.0,4.0,0.954
-1.0,0.0,0.0,-5.0,0.0,3.0,4.0,2.0,-4.0,0.0,-10.0,-1.0,2.0,0.0,0.0,-1.0,2.0,0.194
0.0,0.0,0.0,3.0,2.0,-1.0,-3.0,-2.0,2.0,1.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,0.0,0.416
0.0,0.0,0.0,-7.0,-4.0,2.0,2.0,1.0,6.0,-2.0,-20.0,-1.0,1.0,0.0,0.0,0.0,-4.0,0.083
-2.0,-1.0,0.0,6.0,2.0,8.0,-4.0,-3.0,-1.0,1.0,-12.0,4.0,-2.0,0.0,0.0,-1.0,0.0,0.31
0.0,0.0,0.0,6.0,1.0,0.0,-2.0,-6.0,7.0,1.0,10.0,1.0,-1.0,0.0,0.0,-1.0,4.0,0.84
1.0,0.0,0.0,-8.0,1.0,1.0,-2.0,-10.0,0.0,0.0,4.0,-3.0,-1.0,0.0,0.0,-3.0,0.0,0.235
-2.0,-1.0,0.0,5.0,-2.0,-6.0,-4.0,0.0,-3.0,-1.0,-19.0,3.0,-2.0,0.0,0.0,1.0,4.0,0.405
-2.0,-1.0,0.0,-2.0,-1.0,-3.0,-3.0,4.0,4.0,0.0,-15.0,-1.0,-2.0,0.0,0.0,-2.0,-4.0,0.005
0.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.0,-6.0,0.0,4.0,-3.0,2.0,0.0,0.0,1.0,-2.0,0.421
0.0,0.0,0.0,3.0,0.0,2.0,-3.0,-1.0,-3.0,0.0,0.0,1.0,-2.0,0.0,0.0,-1.0,-2.0,0.456
2.0,1.0,0.0,4.0,4.0,-7.0,-7.0,-4.0,5.0,2.0,8.0,-5.0,-4.0,0.0,0.0,-2.0,-4.0,0.484
-1.0,-1.0,0.0,2.0,0.0,-4.0,3.0,-2.0,2.0,0.0,-4.0,0.0,1.0,0.0,0.0,1.0,2.0,0.55
1.0,0.0,0.0,3.0,-2.0,3.0,7.0,1.0,0.0,-1.0,11.0,6.0,3.0,0.0,0.0,3.0,2.0,0.998
0.0,0.0,0.0,5.0,5.0,2.0,0.0,-3.0,-4.0,2.0,12.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.787
1.0,0.0,0.0,10.0,5.0,3.0,3.0,3.0,6.0,2.0,11.0,7.0,1.0,0.0,0.0,4.0,2.0,0.991
-2.0,-1.0,0.0,-1.0,-1.0,0.0,-4.0,2.0,-1.0,0.0,-20.0,-3.0,-2.0,0.0,0.0,-1.0,2.0,0.057
-1.0,-1.0,0.0,0.0,-6.0,4.0,2.0,-2.0,-5.0,-3.0,-22.0,3.0,1.0,0.0,0.0,1.0,-2.0,0.197
2.0,1.0,0.0,0.0,4.0,-2.0,-6.0,4.0,0.0,2.0,14.0,-3.0,-3.0,0.0,0.0,-3.0,-4.0,0.344
0.0,0.0,0.0,1.0,-2.0,-7.0,-7.0,8.0,0.0,-1.0,0.0,-5.0,-3.0,0.0,0.0,-3.0,6.0,0.287
